Id,metric_alias_widget_4_0,metric_alias_widget_4_1,metric_alias_widget_4_2,metric_alias_widget_4_3,metric_alias_widget_4_4,metric_alias_widget_4_5,metric_alias_widget_4_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkOut Average 300
Label,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut
2024/11/14 16:30:00,9739,8426.6,8270.2,9878.4,12246.8,16978.4,11505.2
2024/11/14 16:35:00,29498.8,6050.8,6104.4,29552.6,30011,37988.6,27897.6
2024/11/14 16:40:00,62020.4,6375.6,6148.2,61792,55013.6,59633.2,53489.8
2024/11/14 16:45:00,62540.8,6385,6691.8,62526.4,53827.6,58886.8,57333
2024/11/14 16:50:00,62202.4,6195.4,6187.4,62463.8,53663.8,61474.2,58980.2
2024/11/14 16:55:00,61609.4,7454.2,7954.8,62598.8,54351.6,59218.8,49725
2024/11/14 17:00:00,64458.6,6250,5466,62453.4,53952.4,59776.4,47858.8
2024/11/14 17:05:00,62107.8,6399,6505.4,62595,53145.6,58525.8,52560.8
2024/11/14 17:10:00,63313.8,6802.8,6452.8,60754.2,53743.8,59378.4,53437.6
2024/11/14 17:15:00,61696.8,6656.2,6440.4,62667.4,54622.6,58822.2,56616.8
2024/11/14 17:20:00,63175.8,6646.6,6290,63224,54703.6,61104.8,56790.8
2024/11/14 17:25:00,63985.6,8068.8,7832.6,63794.6,54169,59626,64978.6
2024/11/14 17:30:00,61238.2,6761.8,6868.2,61642,53744.6,58787.2,46215.8
2024/11/14 17:35:00,62042,6569.4,6619.2,63866.2,54507.8,60698.2,60464.2
2024/11/14 17:40:00,62921.6,5880,6458.8,62077.2,55010,63847.4,53330.2
2024/11/14 17:45:00,60010.6,6524.4,7008.8,58552.4,68279.4,74865.2,76999.8
2024/11/14 17:50:00,59667.4,7903.6,7864,60845.4,69775.6,73770,82786.6
2024/11/14 17:55:00,61071.2,6103.8,6097.2,60689.6,69533.8,72273.2,74300
2024/11/14 18:00:00,19688,6881.8,6299.8,19453,21057.8,22616,26732.4
2024/11/14 18:05:00,6435,6286,6312.8,6492.6,8797,14669.8,8320.8
