"userPriority","servicePriority","firstArrivalAtNode","executedAt","offloadedBy","offloadCount","serviceDuration"
"3.0","1.0","2024-11-14T16:37:06.197211816Z","2024-11-14T16:37:06.432661070Z","[]","0","856"
"5.0","1.0","2024-11-14T16:37:06.197209106Z","2024-11-14T16:37:06.422491651Z","[]","0","817"
"5.0","1.0","2024-11-14T16:37:06.207822066Z","2024-11-14T16:37:06.360551215Z","[]","0","1355"
"1.0","1.0","2024-11-14T16:37:06.207829166Z","2024-11-14T16:37:06.469152200Z","[]","0","1397"
"4.0","1.0","2024-11-14T16:37:06.207827510Z","2024-11-14T16:37:06.451854713Z","[]","0","1457"
"2.0","1.0","2024-11-14T16:37:06.207831334Z","2024-11-14T16:37:06.476280369Z","[]","0","1445"
"1.0","1.0","2024-11-14T16:37:06.197213977Z","2024-11-14T16:37:06.454652328Z","[]","0","1501"
"2.0","1.0","2024-11-14T16:37:06.197215150Z","2024-11-14T16:37:06.464182185Z","[]","0","1523"
"1.0","4.0","2024-11-14T16:37:06.207830260Z","2024-11-14T16:37:06.471554148Z","[]","0","9354"
"3.0","1.0","2024-11-14T16:37:06.207836679Z","2024-11-14T16:37:06.503076825Z","[]","0","9748"
"5.0","1.0","2024-11-14T16:37:16.024830052Z","2024-11-14T16:37:16.194856185Z","[fog-node-4:UPPER_THRESHOLD]","1","525"
"4.0","1.0","2024-11-14T16:37:16.024833204Z","2024-11-14T16:37:16.211893225Z","[fog-node-4:UPPER_THRESHOLD]","1","634"
"2.0","1.0","2024-11-14T16:37:16.024832229Z","2024-11-14T16:37:16.206418162Z","[fog-node-4:UPPER_THRESHOLD]","1","657"
"3.0","1.0","2024-11-14T16:37:16.024831216Z","2024-11-14T16:37:16.200704445Z","[fog-node-4:UPPER_THRESHOLD]","1","685"
"4.0","1.0","2024-11-14T16:37:16.025449077Z","2024-11-14T16:37:16.290435479Z","[fog-node-1:UPPER_THRESHOLD]","1","559"
"3.0","1.0","2024-11-14T16:37:16.025448053Z","2024-11-14T16:37:16.277872052Z","[fog-node-1:UPPER_THRESHOLD]","1","611"
"5.0","1.0","2024-11-14T16:37:16.025451161Z","2024-11-14T16:37:16.312340293Z","[fog-node-1:UPPER_THRESHOLD]","1","797"
"1.0","1.0","2024-11-14T16:37:16.024835186Z","2024-11-14T16:37:16.221912858Z","[fog-node-4:UPPER_THRESHOLD]","1","946"
"2.0","1.0","2024-11-14T16:37:16.025452141Z","2024-11-14T16:37:16.327527475Z","[fog-node-1:UPPER_THRESHOLD]","1","945"
"1.0","1.0","2024-11-14T16:37:16.025454143Z","2024-11-14T16:37:16.343165084Z","[fog-node-1:UPPER_THRESHOLD]","1","1183"
"2.0","4.0","2024-11-14T16:37:06.197202866Z","2024-11-14T16:37:06.326148961Z","[]","0","11445"
"4.0","4.0","2024-11-14T16:37:06.197212874Z","2024-11-14T16:37:06.434755915Z","[]","0","11350"
