Id,metric_alias_widget_3_0,metric_alias_widget_3_1,metric_alias_widget_3_2,metric_alias_widget_3_3,metric_alias_widget_3_4,metric_alias_widget_3_5,metric_alias_widget_3_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkIn Average 300
Label,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn
2024/11/14 21:10:00,13333.8,10148,13352.6,10448.4,13064.6,14589.8,14612.2
2024/11/14 21:15:00,30590.6,32147.2,31968.6,32583,36519.2,33212.2,29851
2024/11/14 21:20:00,54091.2,56742.8,52951,55269,61835.2,58233.8,46595.4
2024/11/14 21:25:00,54166.8,54437.2,53366.4,55917.8,53877.8,60093,35965.8
2024/11/14 21:30:00,51699.6,55642,53597,58768.4,56892.8,55394,23393.6
2024/11/14 21:35:00,54914.6,57327.4,56400.6,58276,61574.6,61517.8,33844.6
2024/11/14 21:40:00,56014.8,53892.2,57699,56167,59586.6,57242.8,35158.6
2024/11/14 21:45:00,55428.2,53394.6,55661.6,56115,60417,57476.6,27530.8
2024/11/14 21:50:00,51715,55317,53666.2,55923.4,60122.2,62232.2,36255.8
2024/11/14 21:55:00,57773.6,55630.4,53667.8,56338.6,57727.8,57149,31857.6
2024/11/14 22:00:00,54407.8,60667,52844.8,56892.2,59995.4,61121.8,33884.4
2024/11/14 22:05:00,52734,70052,53316.2,53659.8,61499.4,64366.4,43768.6
2024/11/14 22:10:00,57212.8,53307.2,53648.6,53525.6,61320,58135,31389.2
2024/11/14 22:15:00,56371,53111.2,53917,52701.8,61083,59638,31974.4
2024/11/14 22:20:00,52193.8,54579.2,55539,52697.6,61353,58663.4,32315.6
2024/11/14 22:25:00,55119.4,52950.6,53075.2,57540.4,63996,58073.8,36629.2
2024/11/14 22:30:00,52130.2,58907.6,52348,54153.2,59370,64028,37447.2
2024/11/14 22:35:00,53665.2,54475.8,55874,55040.8,58245.4,60397,40643.8
2024/11/14 22:40:00,21164.8,20573.6,18147.6,18045.8,17026.6,20259.8,18319.6
2024/11/14 22:45:00,18171,10131,10618,10496,12952,13049,11239
