Id,metric_alias_widget_4_0,metric_alias_widget_4_1,metric_alias_widget_4_2,metric_alias_widget_4_3,metric_alias_widget_4_4,metric_alias_widget_4_5,metric_alias_widget_4_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkOut Average 300
Label,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut
2024/11/14 21:10:00,8163.6,6456.6,8177.8,6712.6,9709.8,10463,9798.4
2024/11/14 21:15:00,20133.4,20815,21259.8,20901.4,24358,23369.6,16468.6
2024/11/14 21:20:00,36653,38141.2,35133.4,35432.4,42739,38755,26592.8
2024/11/14 21:25:00,34257.6,35008.6,35251.2,36641.2,35266.8,39674,21678.4
2024/11/14 21:30:00,34223.2,35085.4,35015.4,37636.2,36657.2,35538,15242
2024/11/14 21:35:00,34805.6,36929.2,35556.6,38896.8,39068,40447.2,19713
2024/11/14 21:40:00,35633,35281.2,36795.2,37800.2,38155.2,38287.4,21497
2024/11/14 21:45:00,35542.2,35072.4,35131.4,37496.6,39032.4,37214.2,16980
2024/11/14 21:50:00,34583.8,35708.2,35137.8,37979.2,40262.2,40860,22078.4
2024/11/14 21:55:00,38455.2,35094.6,34762.4,36224.6,37388.2,37578.2,19725.6
2024/11/14 22:00:00,35965,41745,35190,36400.2,39485.8,40250.8,21022
2024/11/14 22:05:00,35649.4,49659.6,35352.6,35498.6,40251.8,42689,25247.4
2024/11/14 22:10:00,36563.6,34839.8,35127.4,33905.6,39352.8,38563.2,19097.8
2024/11/14 22:15:00,36604,35163.2,34959.8,35077,38782.2,40357.6,19331.8
2024/11/14 22:20:00,33982.8,36064,34947.6,34776.8,39394.8,39214,19886.2
2024/11/14 22:25:00,35820.2,35433.4,35349.4,36328.4,41855.6,37913.4,21200.4
2024/11/14 22:30:00,34460.6,37385.4,35045.2,34998,39057,42843.8,23574.2
2024/11/14 22:35:00,36301.6,34215,37084.6,34907.6,38992.4,38887.2,22633
2024/11/14 22:40:00,12994.6,13607,11870.4,11405.2,12026.8,14879.8,12145.6
2024/11/14 22:45:00,10660,6357,6784,6729,9235,9557,7755
