"userPriority","servicePriority","firstArrivalAtNode","executedAt","offloadedBy","offloadCount","serviceDuration"
"4.0","1.0","2024-11-14T21:17:13.138382470Z","2024-11-14T21:17:13.363692846Z","[]","0","594"
"4.0","1.0","2024-11-14T21:17:13.119418216Z","2024-11-14T21:17:13.306523507Z","[]","0","895"
"5.0","1.0","2024-11-14T21:17:13.119424671Z","2024-11-14T21:17:13.374903472Z","[]","0","966"
"3.0","1.0","2024-11-14T21:17:13.119428413Z","2024-11-14T21:17:13.395587459Z","[]","0","983"
"2.0","1.0","2024-11-14T21:17:13.119426301Z","2024-11-14T21:17:13.391167674Z","[]","0","999"
"4.0","1.0","2024-11-14T21:17:13.118042372Z","2024-11-14T21:17:13.323135075Z","[]","0","1142"
"2.0","1.0","2024-11-14T21:17:13.118043895Z","2024-11-14T21:17:13.337828103Z","[]","0","1168"
"5.0","1.0","2024-11-14T21:17:13.118046101Z","2024-11-14T21:17:13.358357862Z","[]","0","1148"
"4.0","1.0","2024-11-14T21:17:13.133171708Z","2024-11-14T21:17:13.289003659Z","[]","0","1388"
"5.0","1.0","2024-11-14T21:17:13.133179665Z","2024-11-14T21:17:13.391510361Z","[]","0","1524"
"3.0","1.0","2024-11-14T21:17:13.133180826Z","2024-11-14T21:17:13.399837538Z","[]","0","1547"
"1.0","1.0","2024-11-14T21:17:13.133181920Z","2024-11-14T21:17:13.401533439Z","[]","0","1573"
"2.0","4.0","2024-11-14T21:17:13.133178259Z","2024-11-14T21:17:13.379300853Z","[]","0","3004"
"1.0","1.0","2024-11-14T21:17:17.925634506Z","2024-11-14T21:17:18.216107377Z","[fog-node-3:RANKING]","1","236"
"3.0","4.0","2024-11-14T21:17:13.118036231Z","2024-11-14T21:17:13.246942660Z","[]","0","5361"
"4.0","1.0","2024-11-14T21:17:17.929386699Z","2024-11-14T21:17:17.983232943Z","[]","0","648"
"3.0","1.0","2024-11-14T21:17:17.929388783Z","2024-11-14T21:17:18.029764990Z","[]","0","648"
"1.0","4.0","2024-11-14T21:17:13.118045054Z","2024-11-14T21:17:13.349593208Z","[]","0","5417"
"2.0","1.0","2024-11-14T21:17:17.921862216Z","2024-11-14T21:17:17.960142430Z","[]","0","919"
"5.0","1.0","2024-11-14T21:17:17.921863220Z","2024-11-14T21:17:17.981892614Z","[]","0","938"
"1.0","4.0","2024-11-14T21:17:17.921858343Z","2024-11-14T21:17:17.924104503Z","[]","0","4525"
"4.0","4.0","2024-11-14T21:17:17.921861089Z","2024-11-14T21:17:17.934444386Z","[]","0","4552"
"5.0","4.0","2024-11-14T21:17:13.138377096Z","2024-11-14T21:17:13.276993444Z","[]","0","10231"
"4.0","1.0","2024-11-14T21:17:22.937183675Z","2024-11-14T21:17:22.992499579Z","[fog-node-3:UPPER_THRESHOLD]","1","577"
"2.0","1.0","2024-11-14T21:17:22.937179890Z","2024-11-14T21:17:22.968907396Z","[fog-node-3:UPPER_THRESHOLD]","1","615"
"5.0","1.0","2024-11-14T21:17:22.937184685Z","2024-11-14T21:17:23.014808952Z","[fog-node-3:UPPER_THRESHOLD]","1","612"
"5.0","1.0","2024-11-14T21:17:22.919510511Z","2024-11-14T21:17:23.153569100Z","[fog-node-2:UPPER_THRESHOLD]","1","512"
"4.0","1.0","2024-11-14T21:17:22.919511980Z","2024-11-14T21:17:23.157464128Z","[fog-node-2:UPPER_THRESHOLD]","1","469"
"3.0","1.0","2024-11-14T21:17:22.937186641Z","2024-11-14T21:17:23.065387849Z","[fog-node-3:UPPER_THRESHOLD]","1","641"
"3.0","4.0","2024-11-14T21:17:13.138386579Z","2024-11-14T21:17:13.412900228Z","[]","0","10327"
"2.0","4.0","2024-11-14T21:17:13.138384303Z","2024-11-14T21:17:13.392611071Z","[]","0","10400"
"1.0","4.0","2024-11-14T21:17:13.138385476Z","2024-11-14T21:17:13.409844484Z","[]","0","10416"
"2.0","1.0","2024-11-14T21:17:22.925560234Z","2024-11-14T21:17:22.945505588Z","[]","0","928"
"3.0","1.0","2024-11-14T21:17:22.925561367Z","2024-11-14T21:17:22.955375838Z","[]","0","971"
"4.0","1.0","2024-11-14T21:17:22.925562381Z","2024-11-14T21:17:22.980731098Z","[]","0","938"
"1.0","1.0","2024-11-14T21:17:17.926270010Z","2024-11-14T21:17:17.932266223Z","[]","0","6066"
"5.0","1.0","2024-11-14T21:17:17.926271104Z","2024-11-14T21:17:17.935027583Z","[]","0","6277"
"5.0","4.0","2024-11-14T21:17:17.925635561Z","2024-11-14T21:17:18.098363798Z","[]","0","6656"
"3.0","4.0","2024-11-14T21:17:17.925633394Z","2024-11-14T21:17:18.056918966Z","[]","0","6714"
"4.0","4.0","2024-11-14T21:17:17.925636667Z","2024-11-14T21:17:18.123243507Z","[]","0","6664"
"1.0","4.0","2024-11-14T21:17:22.937185661Z","2024-11-14T21:17:23.043916641Z","[fog-node-3:UPPER_THRESHOLD]","1","2248"
"2.0","4.0","2024-11-14T21:17:17.929387737Z","2024-11-14T21:17:18.001418971Z","[]","0","7306"
"5.0","4.0","2024-11-14T21:17:17.929385634Z","2024-11-14T21:17:17.957056323Z","[]","0","7368"
"1.0","4.0","2024-11-14T21:17:17.929382860Z","2024-11-14T21:17:17.931153115Z","[]","0","7406"
"4.0","4.0","2024-11-14T21:17:17.926267160Z","2024-11-14T21:17:17.930135375Z","[]","0","9107"
"1.0","4.0","2024-11-14T21:17:22.925556511Z","2024-11-14T21:17:22.929421487Z","[]","0","4518"
"5.0","4.0","2024-11-14T21:17:22.925563356Z","2024-11-14T21:17:23.002048506Z","[]","0","4453"
"4.0","1.0","2024-11-14T21:17:27.921507289Z","2024-11-14T21:17:27.990424188Z","[fog-node-3:UPPER_THRESHOLD]","1","368"
"2.0","1.0","2024-11-14T21:17:27.921503632Z","2024-11-14T21:17:27.932655207Z","[fog-node-3:UPPER_THRESHOLD]","1","537"
"1.0","1.0","2024-11-14T21:17:27.922029265Z","2024-11-14T21:17:27.940943934Z","[fog-node-4:UPPER_THRESHOLD]","1","556"
"4.0","1.0","2024-11-14T21:17:27.927350459Z","2024-11-14T21:17:28.000936210Z","[]","0","648"
"3.0","1.0","2024-11-14T21:17:27.927351506Z","2024-11-14T21:17:28.012091802Z","[]","0","628"
"3.0","4.0","2024-11-14T21:17:22.919508477Z","2024-11-14T21:17:23.143118094Z","[fog-node-2:UPPER_THRESHOLD]","1","5643"
"3.0","1.0","2024-11-14T21:17:27.921508259Z","2024-11-14T21:17:27.994231690Z","[fog-node-3:UPPER_THRESHOLD]","1","935"
"5.0","1.0","2024-11-14T21:17:27.922032424Z","2024-11-14T21:17:28.060683828Z","[fog-node-4:UPPER_THRESHOLD]","1","920"
"1.0","1.0","2024-11-14T21:17:27.921509332Z","2024-11-14T21:17:28.004761314Z","[fog-node-3:UPPER_THRESHOLD]","1","1029"
"2.0","4.0","2024-11-14T21:17:17.926272199Z","2024-11-14T21:17:17.996238574Z","[]","0","11191"
"3.0","4.0","2024-11-14T21:17:17.926273233Z","2024-11-14T21:17:17.998912587Z","[]","0","11199"
"1.0","4.0","2024-11-14T21:17:22.924634708Z","2024-11-14T21:17:23.162359210Z","[fog-node-1:SERVICE_DURATION]","1","6090"
"1.0","4.0","2024-11-14T21:17:22.919505617Z","2024-11-14T21:17:23.071672551Z","[fog-node-2:UPPER_THRESHOLD]","1","6332"
"5.0","4.0","2024-11-14T21:17:22.924637441Z","2024-11-14T21:17:23.168409757Z","[fog-node-1:SERVICE_DURATION]","1","6367"
"2.0","4.0","2024-11-14T21:17:22.919509528Z","2024-11-14T21:17:23.148196053Z","[fog-node-2:UPPER_THRESHOLD]","1","6440"
"5.0","1.0","2024-11-14T21:17:27.935437007Z","2024-11-14T21:17:28.129068981Z","[fog-node-2:UPPER_THRESHOLD]","1","1655"
"1.0","4.0","2024-11-14T21:17:27.935436026Z","2024-11-14T21:17:28.281674554Z","[fog-node-2:UPPER_THRESHOLD, fog-node-5:RANKING]","2","2138"
"3.0","4.0","2024-11-14T21:17:27.922031387Z","2024-11-14T21:17:27.960447Z","[fog-node-4:UPPER_THRESHOLD]","1","5153"
"5.0","4.0","2024-11-14T21:17:27.921506309Z","2024-11-14T21:17:27.965148576Z","[fog-node-3:UPPER_THRESHOLD]","1","5176"
"1.0","1.0","2024-11-14T21:17:32.930816843Z","2024-11-14T21:17:33.010711721Z","[fog-node-1:RANKING, fog-node-5:UPPER_THRESHOLD]","2","188"
"2.0","4.0","2024-11-14T21:17:27.922033428Z","2024-11-14T21:17:28.074652722Z","[fog-node-4:UPPER_THRESHOLD]","1","5407"
"4.0","4.0","2024-11-14T21:17:27.922034395Z","2024-11-14T21:17:28.092089146Z","[fog-node-4:UPPER_THRESHOLD]","1","5412"
"3.0","1.0","2024-11-14T21:17:32.930815791Z","2024-11-14T21:17:32.965274122Z","[]","0","650"
"4.0","1.0","2024-11-14T21:17:32.930812974Z","2024-11-14T21:17:32.932495969Z","[]","0","673"
"2.0","1.0","2024-11-14T21:17:32.924604931Z","2024-11-14T21:17:32.926886275Z","[]","0","852"
"1.0","1.0","2024-11-14T21:17:32.927179469Z","2024-11-14T21:17:32.933374601Z","[]","0","936"
"3.0","1.0","2024-11-14T21:17:32.924608465Z","2024-11-14T21:17:32.943639187Z","[]","0","941"
"5.0","1.0","2024-11-14T21:17:32.924610453Z","2024-11-14T21:17:32.992280542Z","[]","0","914"
"3.0","1.0","2024-11-14T21:17:32.929168196Z","2024-11-14T21:17:32.954318235Z","[]","0","981"
"3.0","1.0","2024-11-14T21:17:32.928226541Z","2024-11-14T21:17:32.948032583Z","[]","0","982"
"4.0","1.0","2024-11-14T21:17:32.928258907Z","2024-11-14T21:17:33.024515863Z","[]","0","923"
"4.0","1.0","2024-11-14T21:17:32.929169299Z","2024-11-14T21:17:32.960406298Z","[]","0","1013"
"2.0","1.0","2024-11-14T21:17:32.929171249Z","2024-11-14T21:17:33.016468782Z","[]","0","946"
"2.0","4.0","2024-11-14T21:17:22.924639621Z","2024-11-14T21:17:23.210786302Z","[fog-node-1:SERVICE_DURATION]","1","11248"
"4.0","4.0","2024-11-14T21:17:27.935434962Z","2024-11-14T21:17:28.057391643Z","[fog-node-2:UPPER_THRESHOLD]","1","6962"
"4.0","4.0","2024-11-14T21:17:22.924640601Z","2024-11-14T21:17:23.222138665Z","[fog-node-1:SERVICE_DURATION]","1","11842"
"2.0","4.0","2024-11-14T21:17:32.930817830Z","2024-11-14T21:17:33.042155643Z","[fog-node-1:SERVICE_DURATION, fog-node-5:UPPER_THRESHOLD]","2","2036"
"3.0","4.0","2024-11-14T21:17:27.935431840Z","2024-11-14T21:17:28.010161553Z","[fog-node-2:UPPER_THRESHOLD]","1","7092"
"2.0","4.0","2024-11-14T21:17:27.935437971Z","2024-11-14T21:17:28.135531593Z","[fog-node-2:UPPER_THRESHOLD]","1","6988"
"2.0","4.0","2024-11-14T21:17:27.927345620Z","2024-11-14T21:17:27.930637096Z","[]","0","7552"
"1.0","4.0","2024-11-14T21:17:27.927348319Z","2024-11-14T21:17:27.942586736Z","[]","0","7583"
"5.0","4.0","2024-11-14T21:17:27.927349435Z","2024-11-14T21:17:27.955593290Z","[]","0","7618"
"5.0","4.0","2024-11-14T21:17:32.930818804Z","2024-11-14T21:17:33.010400361Z","[]","0","4063"
"5.0","4.0","2024-11-14T21:17:32.928256618Z","2024-11-14T21:17:32.976949215Z","[]","0","4515"
