Id,metric_alias_widget_3_0,metric_alias_widget_3_1,metric_alias_widget_3_2,metric_alias_widget_3_3,metric_alias_widget_3_4,metric_alias_widget_3_5,metric_alias_widget_3_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkIn Average 300
Label,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn
2024/11/14 00:15:00,13074.8,13626,11873,11742.8,20045,16300,23127.2
2024/11/14 00:20:00,31816.8,27266.8,25341,26883.6,49020.4,44529.6,33773.4
2024/11/14 00:25:00,91795.6,42227.4,45121.6,91899.8,86937.4,85191.4,44884.2
2024/11/14 00:30:00,91937,45315.2,42997,92393.8,87850.4,86411.4,43066.4
2024/11/14 00:35:00,91961.4,47804.2,47503.6,91814,83836.75,82408.4,51234.6
2024/11/14 00:40:00,91358,51637,45725.8,93172.4,79657.4,79494,40703.6
2024/11/14 00:45:00,91734,47577.6,54278,91284.2,82046.2,86400.2,47101.8
2024/11/14 00:50:00,94978.6,43124.8,42635,95431.8,95407.4,85156,50586.2
2024/11/14 00:55:00,92344,45226.8,44633,91691.6,87703.2,83146.2,45796.4
2024/11/14 01:00:00,91658.8,41155,47572.4,91777.8,87950.6,80446.2,46491
2024/11/14 01:05:00,92835.4,47640.6,46422.4,92560.6,88941.2,82032.2,41216
2024/11/14 01:10:00,90958.4,53788.6,49042,91738,82923.6,82424.6,40548.6
2024/11/14 01:15:00,93224,50965.2,47931.8,93340.6,83000.2,80443.6,53606
2024/11/14 01:20:00,92544.6,44739.8,43527.6,94792.4,80733.6,88973.8,62224.6
2024/11/14 01:25:00,89876.6,42559.4,47515.4,90729.2,87845.6,92908.2,64923.4
2024/11/14 01:30:00,78718.6,48576,49276.8,95010.6,103572.8,106448.6,88330.8
2024/11/14 01:35:00,78824.8,46985.6,48148.4,79167,109907.8,101633,75314.2
2024/11/14 01:40:00,81851.8,51737.2,53821.4,80855.6,106328,99491.8,91224
2024/11/14 01:45:00,51294.8,37602.6,38054.4,59505.2,86916.8,72310,53637.6
2024/11/14 01:50:00,18975,19061,18981.5,18904.5,38046.5,35853,25323
