Id,metric_alias_widget_4_0,metric_alias_widget_4_1,metric_alias_widget_4_2,metric_alias_widget_4_3,metric_alias_widget_4_4,metric_alias_widget_4_5,metric_alias_widget_4_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkOut Average 300
Label,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut
2024/11/14 00:15:00,9458.2,10016.4,7847.2,8029.8,16268.2,12513.4,19520.8
2024/11/14 00:20:00,22197,17967.2,17761.4,18734,43609.4,41190.6,31812
2024/11/14 00:25:00,69243.2,27169.2,29334.8,69748.2,64893.8,64349.6,34451
2024/11/14 00:30:00,69389.8,29331,29405.8,68668,64673.8,66889.4,35586
2024/11/14 00:35:00,69436,30575.2,31121.4,69400.2,64020.75,63125.6,42205.2
2024/11/14 00:40:00,67787.4,33602.2,28905,69911,60094.2,59538.2,33336
2024/11/14 00:45:00,68890.4,31614.8,34025.8,68770.8,64048.6,63113,37395.6
2024/11/14 00:50:00,70537,27918.6,27508.6,70297,72174,64520.6,39661
2024/11/14 00:55:00,69793.8,29114,28492.2,68801.2,67712.6,62613.2,39109.2
2024/11/14 01:00:00,69396.8,27000.2,30224.8,68992,65896.6,62220.8,38781.8
2024/11/14 01:05:00,69140.4,30666,30399.8,69642.2,66103.6,63119.4,35239.2
2024/11/14 01:10:00,68735.4,33871.8,30964.2,69307.6,61633.4,61817.6,36676.2
2024/11/14 01:15:00,69711.6,31738.8,30725,69627.4,63695.6,60121.6,38278.6
2024/11/14 01:20:00,69602.6,30154,28242.8,69893.2,61852.8,68898.2,49525.2
2024/11/14 01:25:00,68549,27796.6,30469,68213.4,68249,70485.2,48356.4
2024/11/14 01:30:00,66830.6,31393,31261.8,86090.4,81616.2,80385.2,58531.2
2024/11/14 01:35:00,66105.8,30240.8,30805.6,65881.8,84558.6,80078,53598.2
2024/11/14 01:40:00,68278.2,33342,34409,67036.6,81954.8,76286.8,60056.8
2024/11/14 01:45:00,42146,24807.6,25228.8,48429.2,66469.8,59008.8,42861.6
2024/11/14 01:50:00,13241.5,13234,12955.5,13173.5,36108,34595.5,26129
