"userPriority","servicePriority","firstArrivalAtNode","executedAt","offloadedBy","offloadCount","serviceDuration"
"4.0","1.0","2024-11-14T00:24:03.840207312Z","2024-11-14T00:24:04.093714953Z","[]","0","1125"
"3.0","1.0","2024-11-14T00:24:03.840206124Z","2024-11-14T00:24:04.078891980Z","[]","0","1126"
"1.0","1.0","2024-11-14T00:24:03.840203145Z","2024-11-14T00:24:04.064585931Z","[]","0","1084"
"5.0","1.0","2024-11-14T00:24:03.840209584Z","2024-11-14T00:24:04.113867925Z","[]","0","1437"
"3.0","1.0","2024-11-14T00:24:03.838212802Z","2024-11-14T00:24:04.084036094Z","[]","0","1424"
"1.0","1.0","2024-11-14T00:24:03.838203113Z","2024-11-14T00:24:03.978726524Z","[]","0","1520"
"2.0","1.0","2024-11-14T00:24:03.838211688Z","2024-11-14T00:24:04.082166768Z","[]","0","1460"
"2.0","1.0","2024-11-14T00:24:08.669754313Z","2024-11-14T00:24:09.004225767Z","[fog-node-1:RANKING]","1","481"
"3.0","1.0","2024-11-14T00:24:08.669751058Z","2024-11-14T00:24:08.967919006Z","[fog-node-1:RANKING]","1","568"
"1.0","1.0","2024-11-14T00:24:08.669745084Z","2024-11-14T00:24:08.930702954Z","[fog-node-1:RANKING]","1","653"
"1.0","1.0","2024-11-14T00:24:08.663383216Z","2024-11-14T00:24:09.021387110Z","[fog-node-4:RANKING]","1","617"
"2.0","1.0","2024-11-14T00:24:08.663388751Z","2024-11-14T00:24:09.068083146Z","[fog-node-4:RANKING]","1","649"
"3.0","1.0","2024-11-14T00:24:08.663384319Z","2024-11-14T00:24:09.050924794Z","[fog-node-4:RANKING]","1","673"
"1.0","4.0","2024-11-14T00:24:08.663379010Z","2024-11-14T00:24:08.954138629Z","[fog-node-4:RANKING]","1","2497"
"1.0","4.0","2024-11-14T00:24:08.669756325Z","2024-11-14T00:24:09.024330891Z","[fog-node-1:RANKING]","1","2664"
"2.0","4.0","2024-11-14T00:24:08.669753146Z","2024-11-14T00:24:08.985674020Z","[fog-node-1:RANKING]","1","2711"
"1.0","4.0","2024-11-14T00:24:03.838210576Z","2024-11-14T00:24:04.072767617Z","[]","0","9717"
"4.0","1.0","2024-11-14T00:24:03.838218298Z","2024-11-14T00:24:04.107126893Z","[]","0","10029"
"5.0","1.0","2024-11-14T00:24:08.669747721Z","2024-11-14T00:24:08.824890674Z","[]","0","5637"
"1.0","1.0","2024-11-14T00:24:13.679840953Z","2024-11-14T00:24:13.844946192Z","[fog-node-4:UPPER_THRESHOLD]","1","1123"
"3.0","1.0","2024-11-14T00:24:13.679843901Z","2024-11-14T00:24:13.981704148Z","[fog-node-4:UPPER_THRESHOLD]","1","1018"
"3.0","4.0","2024-11-14T00:24:03.840196912Z","2024-11-14T00:24:03.978755455Z","[]","0","11283"
"1.0","1.0","2024-11-14T00:24:13.669248885Z","2024-11-14T00:24:13.959608090Z","[fog-node-1:RANKING]","1","1492"
"3.0","1.0","2024-11-14T00:24:13.669247862Z","2024-11-14T00:24:13.939194574Z","[fog-node-1:RANKING]","1","1518"
"2.0","1.0","2024-11-14T00:24:13.669249842Z","2024-11-14T00:24:13.964409623Z","[fog-node-1:RANKING]","1","1465"
"2.0","1.0","2024-11-14T00:24:03.840212957Z","2024-11-14T00:24:04.123154787Z","[]","0","11459"
"4.0","4.0","2024-11-14T00:24:03.840204877Z","2024-11-14T00:24:04.066882453Z","[]","0","11544"
"4.0","1.0","2024-11-14T00:24:13.669253721Z","2024-11-14T00:24:14.026612918Z","[fog-node-1:RANKING]","1","1767"
"5.0","4.0","2024-11-14T00:24:03.840208411Z","2024-11-14T00:24:04.095376246Z","[]","0","12533"
"2.0","4.0","2024-11-14T00:24:03.840210734Z","2024-11-14T00:24:04.120074022Z","[]","0","12795"
"4.0","1.0","2024-11-14T00:24:08.663380082Z","2024-11-14T00:24:08.838493987Z","[]","0","8121"
"5.0","4.0","2024-11-14T00:24:03.838213928Z","2024-11-14T00:24:04.085496049Z","[]","0","12919"
"1.0","4.0","2024-11-14T00:24:03.840211869Z","2024-11-14T00:24:04.121786139Z","[]","0","13028"
"4.0","4.0","2024-11-14T00:24:03.838216182Z","2024-11-14T00:24:04.102907622Z","[]","0","13066"
"3.0","4.0","2024-11-14T00:24:03.838215019Z","2024-11-14T00:24:04.101374598Z","[]","0","13202"
"4.0","1.0","2024-11-14T00:24:08.669749980Z","2024-11-14T00:24:08.849743766Z","[]","0","8549"
"5.0","1.0","2024-11-14T00:24:08.663385342Z","2024-11-14T00:24:08.932565328Z","[]","0","8606"
"2.0","4.0","2024-11-14T00:24:03.838217236Z","2024-11-14T00:24:04.105299229Z","[]","0","13446"
"4.0","1.0","2024-11-14T00:24:18.663636445Z","2024-11-14T00:24:18.734666522Z","[fog-node-1:UPPER_THRESHOLD]","1","201"
"5.0","1.0","2024-11-14T00:24:18.667160634Z","2024-11-14T00:24:18.712347188Z","[fog-node-4:UPPER_THRESHOLD]","1","365"
"1.0","1.0","2024-11-14T00:24:18.663638001Z","2024-11-14T00:24:18.781744914Z","[fog-node-1:UPPER_THRESHOLD]","1","343"
"2.0","4.0","2024-11-14T00:24:13.669246868Z","2024-11-14T00:24:13.870177050Z","[fog-node-1:RANKING]","1","5408"
"2.0","1.0","2024-11-14T00:24:18.663638825Z","2024-11-14T00:24:18.797306068Z","[fog-node-1:UPPER_THRESHOLD]","1","502"
"1.0","4.0","2024-11-14T00:24:13.669251803Z","2024-11-14T00:24:14.007154167Z","[fog-node-1:RANKING]","1","5298"
"1.0","1.0","2024-11-14T00:24:18.667163119Z","2024-11-14T00:24:18.791670695Z","[fog-node-4:UPPER_THRESHOLD]","1","516"
"3.0","1.0","2024-11-14T00:24:18.667161482Z","2024-11-14T00:24:18.730754990Z","[fog-node-4:UPPER_THRESHOLD]","1","638"
"3.0","1.0","2024-11-14T00:24:18.663639607Z","2024-11-14T00:24:18.816243429Z","[fog-node-1:UPPER_THRESHOLD]","1","735"
