"userPriority","servicePriority","firstArrivalAtNode","executedAt","offloadedBy","offloadCount","serviceDuration"
"2.0","1.0","2024-11-14T02:58:29.819627837Z","2024-11-14T02:58:30.040644186Z","[]","0","975"
"4.0","1.0","2024-11-14T02:58:29.841748360Z","2024-11-14T02:58:30.080814225Z","[]","0","877"
"3.0","1.0","2024-11-14T02:58:29.819631410Z","2024-11-14T02:58:30.074357252Z","[]","0","936"
"1.0","1.0","2024-11-14T02:58:29.819622311Z","2024-11-14T02:58:29.953711215Z","[]","0","961"
"5.0","1.0","2024-11-14T02:58:29.819630399Z","2024-11-14T02:58:30.065193041Z","[]","0","938"
"4.0","1.0","2024-11-14T02:58:29.819629365Z","2024-11-14T02:58:30.042512373Z","[]","0","945"
"1.0","1.0","2024-11-14T02:58:29.841752077Z","2024-11-14T02:58:30.108745530Z","[]","0","873"
"5.0","1.0","2024-11-14T02:58:29.822485071Z","2024-11-14T02:58:30.107356303Z","[]","0","897"
"2.0","1.0","2024-11-14T02:58:29.822482463Z","2024-11-14T02:58:30.086627609Z","[]","0","960"
"3.0","1.0","2024-11-14T02:58:29.822476537Z","2024-11-14T02:58:29.974270899Z","[]","0","974"
"1.0","1.0","2024-11-14T02:58:29.843694891Z","2024-11-14T02:58:30.100556147Z","[]","0","1206"
"4.0","1.0","2024-11-14T02:58:29.843697507Z","2024-11-14T02:58:30.123481755Z","[]","0","1261"
"5.0","1.0","2024-11-14T02:58:29.843698540Z","2024-11-14T02:58:30.137926672Z","[]","0","1188"
"3.0","1.0","2024-11-14T02:58:34.631831095Z","2024-11-14T02:58:34.649692276Z","[]","0","389"
"3.0","1.0","2024-11-14T02:58:34.631120559Z","2024-11-14T02:58:34.641854691Z","[]","0","638"
"1.0","1.0","2024-11-14T02:58:34.637390179Z","2024-11-14T02:58:34.639889358Z","[]","0","648"
"4.0","1.0","2024-11-14T02:58:34.637392546Z","2024-11-14T02:58:34.642372196Z","[]","0","620"
"2.0","1.0","2024-11-14T02:58:34.631136255Z","2024-11-14T02:58:34.686185880Z","[]","0","631"
"2.0","1.0","2024-11-14T02:58:34.631833106Z","2024-11-14T02:58:34.653165380Z","[]","0","714"
"5.0","1.0","2024-11-14T02:58:34.630941387Z","2024-11-14T02:58:34.634706432Z","[]","0","914"
"4.0","1.0","2024-11-14T02:58:34.630943674Z","2024-11-14T02:58:34.641976513Z","[]","0","982"
"1.0","1.0","2024-11-14T02:58:34.630944682Z","2024-11-14T02:58:34.676606307Z","[]","0","966"
"1.0","1.0","2024-11-14T02:58:34.631834129Z","2024-11-14T02:58:34.688647041Z","[]","0","1005"
"5.0","1.0","2024-11-14T02:58:34.637393648Z","2024-11-14T02:58:34.643802862Z","[]","0","1245"
"2.0","1.0","2024-11-14T02:58:34.637394693Z","2024-11-14T02:58:34.683031995Z","[]","0","1242"
"2.0","4.0","2024-11-14T02:58:29.843687555Z","2024-11-14T02:58:29.996474495Z","[]","0","6441"
"3.0","4.0","2024-11-14T02:58:29.843696422Z","2024-11-14T02:58:30.113209266Z","[]","0","6398"
"3.0","4.0","2024-11-14T02:58:29.841741340Z","2024-11-14T02:58:29.964667419Z","[]","0","7883"
"5.0","4.0","2024-11-14T02:58:29.841750965Z","2024-11-14T02:58:30.098594890Z","[]","0","7994"
"2.0","4.0","2024-11-14T02:58:29.841749904Z","2024-11-14T02:58:30.093056705Z","[]","0","8033"
"2.0","4.0","2024-11-14T02:58:34.630946675Z","2024-11-14T02:58:34.720137828Z","[]","0","4634"
"3.0","4.0","2024-11-14T02:58:34.630945709Z","2024-11-14T02:58:34.686666813Z","[]","0","4696"
"3.0","4.0","2024-11-14T02:58:34.637395802Z","2024-11-14T02:58:34.697779890Z","[]","0","4781"
"4.0","4.0","2024-11-14T02:58:34.631827769Z","2024-11-14T02:58:34.633442039Z","[]","0","5373"
"5.0","4.0","2024-11-14T02:58:34.631832125Z","2024-11-14T02:58:34.651366306Z","[]","0","5379"
"1.0","1.0","2024-11-14T02:58:39.631214455Z","2024-11-14T02:58:39.926544004Z","[fog-node-2:RANKING]","1","235"
"1.0","1.0","2024-11-14T02:58:39.631203109Z","2024-11-14T02:58:39.757610781Z","[fog-node-4:UPPER_THRESHOLD]","1","438"
"2.0","1.0","2024-11-14T02:58:39.628226385Z","2024-11-14T02:58:39.858180706Z","[fog-node-1:RANKING]","1","382"
"2.0","1.0","2024-11-14T02:58:39.631208693Z","2024-11-14T02:58:39.858334262Z","[fog-node-2:RANKING]","1","408"
"3.0","1.0","2024-11-14T02:58:39.631211317Z","2024-11-14T02:58:39.768615504Z","[]","0","626"
"4.0","1.0","2024-11-14T02:58:39.628228062Z","2024-11-14T02:58:39.864994963Z","[]","0","633"
"5.0","1.0","2024-11-14T02:58:39.631213409Z","2024-11-14T02:58:39.836010187Z","[]","0","886"
"1.0","4.0","2024-11-14T02:58:34.631119482Z","2024-11-14T02:58:34.640458200Z","[]","0","7875"
"4.0","4.0","2024-11-14T02:58:34.631116235Z","2024-11-14T02:58:34.633216777Z","[]","0","7924"
"5.0","4.0","2024-11-14T02:58:34.631121558Z","2024-11-14T02:58:34.643129718Z","[]","0","7952"
"4.0","4.0","2024-11-14T02:58:39.631212413Z","2024-11-14T02:58:39.792442138Z","[]","0","4372"
"3.0","1.0","2024-11-14T02:58:44.634372439Z","2024-11-14T02:58:44.640312892Z","[]","0","347"
"4.0","1.0","2024-11-14T02:58:44.634099506Z","2024-11-14T02:58:44.676609776Z","[]","0","354"
"4.0","1.0","2024-11-14T02:58:44.633264952Z","2024-11-14T02:58:44.666904628Z","[fog-node-2:UPPER_THRESHOLD]","1","427"
