Id,metric_alias_widget_3_0,metric_alias_widget_3_1,metric_alias_widget_3_2,metric_alias_widget_3_3,metric_alias_widget_3_4,metric_alias_widget_3_5,metric_alias_widget_3_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkIn Average 60,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkIn Average 60,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkIn Average 60,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkIn Average 60,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkIn Average 60,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkIn Average 60,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkIn Average 60
Label,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn
2024/11/13 15:50:00,9916,9745,9793,9499,12789,12645,11516
2024/11/13 15:51:00,9993,9704,9517,9713,12411,13622,11944
2024/11/13 15:52:00,9418,9587,9571,9839,12730,13021,26086
2024/11/13 15:53:00,9505,25716,9535,9179,12668,38370,3023
2024/11/13 15:54:00,61215,9264,9772,80494,65421,77314,154516
2024/11/13 15:55:00,80968,9438,9595,82767,79653,79281,106133
2024/11/13 15:56:00,77196,10154,25068,79720,74209,85171,113575
2024/11/13 15:57:00,81005,10362,9489,82835,70819,73769,106428
2024/11/13 15:58:00,83642,10136,9615,79315,72121,77943,99686
2024/11/13 15:59:00,82398,9826,9382,83303,67022,96881,112135
2024/11/13 16:00:00,83360,10182,9737,78118,83238,74764,100178
2024/11/13 16:01:00,83237,10249,9362,86103,70815,76520,96411
2024/11/13 16:02:00,82925,10104,9856,81468,80118,76045,75738
2024/11/13 16:03:00,82436,9990,9841,76847,68048,72076,98319
2024/11/13 16:04:00,84106,9464,9802,96790,70184,80030,88290
2024/11/13 16:05:00,82475,10565,9609,84572,76303,81911,94339
2024/11/13 16:06:00,84007,10201,10296,80355,73972,74597,100544
