Id,metric_alias_widget_4_0,metric_alias_widget_4_1,metric_alias_widget_4_2,metric_alias_widget_4_3,metric_alias_widget_4_4,metric_alias_widget_4_5,metric_alias_widget_4_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkOut Average 60,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkOut Average 60,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkOut Average 60,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkOut Average 60,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkOut Average 60,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkOut Average 60,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkOut Average 60
Label,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut
2024/11/13 15:50:00,6136,5744,6109,5879,9166,9066,7838
2024/11/13 15:51:00,6133,6004,5770,5857,8958,9609,8310
2024/11/13 15:52:00,5704,6119,5875,5996,8887,9170,15375
2024/11/13 15:53:00,5998,14085,5953,5497,9136,27263,3198
2024/11/13 15:54:00,43540,5528,6042,65144,47364,60744,113567
2024/11/13 15:55:00,62339,5966,5781,62224,60443,56922,70702
2024/11/13 15:56:00,60250,5960,13716,62192,57597,62686,74641
2024/11/13 15:57:00,60659,6455,5795,64461,53796,54163,69797
2024/11/13 15:58:00,62688,6488,5942,59653,56039,57641,68109
2024/11/13 15:59:00,59342,6022,5611,65264,51324,65360,74662
2024/11/13 16:00:00,63142,6350,5789,58209,59959,55216,69908
2024/11/13 16:01:00,63465,6354,5716,65935,54692,54102,64896
2024/11/13 16:02:00,63800,11209,5983,61061,57836,52833,52035
2024/11/13 16:03:00,60636,7151,6123,56671,47538,54798,63079
2024/11/13 16:04:00,61163,5860,5978,69725,52299,52608,58420
2024/11/13 16:05:00,60987,6626,5763,65031,60568,60363,58484
2024/11/13 16:06:00,63667,6219,7694,57922,55325,52200,70274
