"userPriority","servicePriority","firstArrivalAtNode","executedAt","offloadedBy","offloadCount","serviceDuration"
"2.0","1.0","2024-11-13T15:53:34.319332950Z","2024-11-13T15:53:34.547537926Z","[]","0","966"
"5.0","1.0","2024-11-13T15:53:34.319331453Z","2024-11-13T15:53:34.544721137Z","[]","0","911"
"4.0","1.0","2024-11-13T15:53:34.319337403Z","2024-11-13T15:53:34.590276093Z","[]","0","1257"
"4.0","1.0","2024-11-13T15:53:34.322589136Z","2024-11-13T15:53:34.544009796Z","[]","0","1265"
"5.0","1.0","2024-11-13T15:53:34.322591781Z","2024-11-13T15:53:34.560515798Z","[]","0","1265"
"2.0","1.0","2024-11-13T15:53:34.322590666Z","2024-11-13T15:53:34.558787917Z","[]","0","1188"
"1.0","1.0","2024-11-13T15:53:34.322596222Z","2024-11-13T15:53:34.595764600Z","[]","0","1599"
"3.0","1.0","2024-11-13T15:53:34.322597246Z","2024-11-13T15:53:34.606297683Z","[]","0","1893"
"1.0","1.0","2024-11-13T15:53:39.125267145Z","2024-11-13T15:53:39.447381472Z","[fog-node-1:RANKING]","1","280"
"2.0","1.0","2024-11-13T15:53:39.125270296Z","2024-11-13T15:53:39.480516063Z","[fog-node-1:RANKING]","1","248"
"1.0","1.0","2024-11-13T15:53:39.136779247Z","2024-11-13T15:53:39.390780292Z","[fog-node-4:RANKING]","1","610"
"3.0","1.0","2024-11-13T15:53:39.136783085Z","2024-11-13T15:53:39.481481544Z","[fog-node-4:UPPER_THRESHOLD]","1","592"
"2.0","1.0","2024-11-13T15:53:39.136786095Z","2024-11-13T15:53:39.522281334Z","[fog-node-4:UPPER_THRESHOLD]","1","781"
"5.0","1.0","2024-11-13T15:53:39.136788101Z","2024-11-13T15:53:39.545178569Z","[fog-node-4:UPPER_THRESHOLD]","1","979"
"4.0","1.0","2024-11-13T15:53:39.136789084Z","2024-11-13T15:53:39.558350747Z","[fog-node-4:UPPER_THRESHOLD]","1","1199"
"2.0","1.0","2024-11-13T15:53:44.113582759Z","2024-11-13T15:53:44.129772743Z","[fog-node-1:UPPER_THRESHOLD]","1","339"
"1.0","1.0","2024-11-13T15:53:44.113588524Z","2024-11-13T15:53:44.247842969Z","[fog-node-1:UPPER_THRESHOLD]","1","452"
"3.0","1.0","2024-11-13T15:53:44.113589530Z","2024-11-13T15:53:44.273737502Z","[fog-node-1:UPPER_THRESHOLD]","1","629"
"4.0","1.0","2024-11-13T15:53:44.113590512Z","2024-11-13T15:53:44.312614156Z","[fog-node-1:UPPER_THRESHOLD]","1","706"
"3.0","1.0","2024-11-13T15:53:44.112139605Z","2024-11-13T15:53:44.450002606Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD]","2","612"
"1.0","1.0","2024-11-13T15:53:44.112140610Z","2024-11-13T15:53:44.456913865Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD]","2","566"
"2.0","1.0","2024-11-13T15:53:44.112138540Z","2024-11-13T15:53:44.443439443Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD]","2","667"
"5.0","1.0","2024-11-13T15:53:44.113592467Z","2024-11-13T15:53:44.337433681Z","[fog-node-1:UPPER_THRESHOLD]","1","870"
