Id,metric_alias_widget_4_0,metric_alias_widget_4_1,metric_alias_widget_4_2,metric_alias_widget_4_3,metric_alias_widget_4_4,metric_alias_widget_4_5,metric_alias_widget_4_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkOut Average 300
Label,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut
2024/11/13 19:00:00,7821.2,7850.2,10947.4,8209,9217.6,9420.2,8033.4
2024/11/13 19:05:00,29184,24725.4,32219.6,27519.4,35027,36418.8,34429.4
2024/11/13 19:10:00,34894.8,35134.8,35564.2,35371.4,43844,43049.2,41051.4
2024/11/13 19:15:00,35350.6,34624.2,34188,35286.6,45649.6,44126.6,43787.6
2024/11/13 19:20:00,33716.6,34774.4,35155.4,35246.2,43933.6,44017.2,38592.8
2024/11/13 19:25:00,34821,34882.2,36965.8,36633.6,41395,45282.4,38966.8
2024/11/13 19:30:00,36454.6,35987.4,34454.6,35450.2,42742.4,42387,37162
2024/11/13 19:35:00,34704,35614.4,35009.8,35098.4,46478.8,43483.6,42744.4
2024/11/13 19:40:00,34664.2,34631,35138.4,34911.2,42287,45595.6,39870
2024/11/13 19:45:00,35238.2,34964.4,34940.8,36037.4,46496.8,43239.4,41831.8
2024/11/13 19:50:00,34952.8,34297.8,35258.4,34427.8,45370.8,43244.2,39902.6
2024/11/13 19:55:00,34430.2,34669.8,36355.2,36715,45707,45909.2,45837.2
2024/11/13 20:00:00,36722.6,36772.8,34614.6,34700,47151.4,45912.4,42686
2024/11/13 20:05:00,35062.8,35039.6,34033.2,34886,44111.4,43327.6,36082.2
2024/11/13 20:10:00,34643,34862.8,34775,35181.4,43409.6,42117.8,40618.2
2024/11/13 20:15:00,34526.8,34636,34870.6,35337,43486.4,46495.8,41056.8
2024/11/13 20:20:00,35773.8,35285.4,36865.2,36703.4,43871.8,45256,36780.2
2024/11/13 20:25:00,31351,34760.6,32506.8,32906.6,44173.4,40647.8,38643.4
2024/11/13 20:30:00,7703,8903.4,6115.8,6313.6,10815,9218.6,7963.2
2024/11/13 20:35:00,5973,5763,5960,6263,10379,9157,7957
