"userPriority","servicePriority","firstArrivalAtNode","executedAt","offloadedBy","offloadCount","serviceDuration"
"3.0","1.0","2024-11-13T19:05:53.864019518Z","2024-11-13T19:05:54.021075869Z","[]","0","937"
"4.0","1.0","2024-11-13T19:05:53.864026082Z","2024-11-13T19:05:54.123496965Z","[]","0","853"
"3.0","1.0","2024-11-13T19:05:53.850438299Z","2024-11-13T19:05:54.104050968Z","[]","0","997"
"1.0","1.0","2024-11-13T19:05:53.850429211Z","2024-11-13T19:05:53.986318091Z","[]","0","1062"
"3.0","1.0","2024-11-13T19:05:53.860021128Z","2024-11-13T19:05:54.013208257Z","[]","0","1205"
"4.0","1.0","2024-11-13T19:05:53.860030200Z","2024-11-13T19:05:54.155413113Z","[]","0","1209"
"2.0","1.0","2024-11-13T19:05:53.860029165Z","2024-11-13T19:05:54.144604878Z","[]","0","1220"
"2.0","1.0","2024-11-13T19:05:53.881497097Z","2024-11-13T19:05:54.111611952Z","[]","0","1518"
"3.0","1.0","2024-11-13T19:05:53.881498678Z","2024-11-13T19:05:54.130888789Z","[]","0","1608"
"1.0","1.0","2024-11-13T19:05:53.881500894Z","2024-11-13T19:05:54.135711923Z","[]","0","1627"
"4.0","4.0","2024-11-13T19:05:53.881491513Z","2024-11-13T19:05:54.021568615Z","[]","0","3172"
"5.0","1.0","2024-11-13T19:05:58.613534634Z","2024-11-13T19:05:58.736904092Z","[]","0","656"
"1.0","1.0","2024-11-13T19:05:58.611055582Z","2024-11-13T19:05:58.866341665Z","[fog-node-4:UPPER_THRESHOLD]","1","550"
"5.0","1.0","2024-11-13T19:05:58.608175186Z","2024-11-13T19:05:58.865962142Z","[fog-node-1:UPPER_THRESHOLD]","1","636"
"2.0","1.0","2024-11-13T19:05:58.613538247Z","2024-11-13T19:05:58.864163095Z","[fog-node-3:RANKING]","1","617"
"3.0","1.0","2024-11-13T19:05:58.608172699Z","2024-11-13T19:05:58.787098946Z","[fog-node-1:UPPER_THRESHOLD]","1","672"
"1.0","1.0","2024-11-13T19:05:58.608296579Z","2024-11-13T19:05:58.854325870Z","[fog-node-2:RANKING]","1","595"
"3.0","1.0","2024-11-13T19:05:58.611052526Z","2024-11-13T19:05:58.763415580Z","[fog-node-4:UPPER_THRESHOLD]","1","762"
"5.0","1.0","2024-11-13T19:05:58.608295483Z","2024-11-13T19:05:58.777310310Z","[]","0","867"
"4.0","1.0","2024-11-13T19:05:58.608297671Z","2024-11-13T19:05:58.854024717Z","[]","0","847"
"4.0","1.0","2024-11-13T19:05:58.611058749Z","2024-11-13T19:05:58.911072674Z","[fog-node-4:UPPER_THRESHOLD]","1","813"
"4.0","1.0","2024-11-13T19:05:58.608178356Z","2024-11-13T19:05:58.897065519Z","[fog-node-1:UPPER_THRESHOLD]","1","838"
"4.0","1.0","2024-11-13T19:05:58.613540334Z","2024-11-13T19:05:58.869053996Z","[]","0","1019"
"5.0","4.0","2024-11-13T19:05:53.860026641Z","2024-11-13T19:05:54.119742840Z","[]","0","6084"
"1.0","4.0","2024-11-13T19:05:53.860028070Z","2024-11-13T19:05:54.122270364Z","[]","0","6133"
"2.0","4.0","2024-11-13T19:05:53.850434586Z","2024-11-13T19:05:54.072663211Z","[]","0","7038"
"5.0","4.0","2024-11-13T19:05:53.850437201Z","2024-11-13T19:05:54.077216373Z","[]","0","7074"
"4.0","4.0","2024-11-13T19:05:53.850436080Z","2024-11-13T19:05:54.075481026Z","[]","0","7083"
"2.0","4.0","2024-11-13T19:05:58.608176274Z","2024-11-13T19:05:58.871485343Z","[fog-node-1:UPPER_THRESHOLD]","1","2703"
"1.0","4.0","2024-11-13T19:05:58.608177339Z","2024-11-13T19:05:58.891934864Z","[fog-node-1:UPPER_THRESHOLD]","1","2815"
"2.0","4.0","2024-11-13T19:05:58.611056698Z","2024-11-13T19:05:58.876784831Z","[fog-node-4:UPPER_THRESHOLD]","1","3753"
"5.0","4.0","2024-11-13T19:05:53.864024618Z","2024-11-13T19:05:54.112838514Z","[]","0","8525"
"1.0","4.0","2024-11-13T19:05:53.864028336Z","2024-11-13T19:05:54.146626120Z","[]","0","8511"
"2.0","4.0","2024-11-13T19:05:53.864027208Z","2024-11-13T19:05:54.128722478Z","[]","0","8540"
"1.0","4.0","2024-11-13T19:05:58.613537187Z","2024-11-13T19:05:58.808329822Z","[fog-node-3:RANKING]","1","3904"
"5.0","4.0","2024-11-13T19:05:58.611057734Z","2024-11-13T19:05:58.888985076Z","[fog-node-4:UPPER_THRESHOLD]","1","3947"
"4.0","1.0","2024-11-13T19:06:03.602548375Z","2024-11-13T19:06:03.683340562Z","[fog-node-1:UPPER_THRESHOLD]","1","328"
"2.0","4.0","2024-11-13T19:05:58.608292776Z","2024-11-13T19:05:58.736162733Z","[]","0","5300"
"3.0","4.0","2024-11-13T19:05:58.613539304Z","2024-11-13T19:05:58.838619028Z","[]","0","5232"
"4.0","1.0","2024-11-13T19:06:03.599567693Z","2024-11-13T19:06:03.702511212Z","[]","0","363"
"3.0","4.0","2024-11-13T19:05:58.608298668Z","2024-11-13T19:05:58.894967999Z","[]","0","5247"
"3.0","1.0","2024-11-13T19:06:03.597378572Z","2024-11-13T19:06:03.720262507Z","[fog-node-3:UPPER_THRESHOLD]","1","458"
"3.0","1.0","2024-11-13T19:06:03.599569764Z","2024-11-13T19:06:03.780885637Z","[fog-node-4:RANKING]","1","405"
"5.0","1.0","2024-11-13T19:06:03.602550484Z","2024-11-13T19:06:03.756096343Z","[fog-node-1:UPPER_THRESHOLD]","1","608"
"5.0","1.0","2024-11-13T19:06:03.599882695Z","2024-11-13T19:06:03.672150328Z","[fog-node-2:UPPER_THRESHOLD]","1","733"
"4.0","1.0","2024-11-13T19:06:03.599888552Z","2024-11-13T19:06:03.807600592Z","[fog-node-2:UPPER_THRESHOLD]","1","607"
"3.0","1.0","2024-11-13T19:06:03.599886484Z","2024-11-13T19:06:04.008731282Z","[fog-node-2:UPPER_THRESHOLD, fog-node-5:RANKING]","2","622"
"3.0","1.0","2024-11-13T19:06:03.602549427Z","2024-11-13T19:06:03.912687834Z","[fog-node-1:UPPER_THRESHOLD, fog-node-5:RANKING]","2","773"
"1.0","1.0","2024-11-13T19:06:03.602551507Z","2024-11-13T19:06:03.990701582Z","[fog-node-1:UPPER_THRESHOLD, fog-node-5:RANKING]","2","733"
"1.0","1.0","2024-11-13T19:06:03.599568781Z","2024-11-13T19:06:04.021964682Z","[fog-node-4:RANKING, fog-node-6:RANKING]","2","988"
"2.0","1.0","2024-11-13T19:06:03.597380505Z","2024-11-13T19:06:04.063226614Z","[fog-node-3:UPPER_THRESHOLD, fog-node-6:RANKING]","2","1026"
"2.0","4.0","2024-11-13T19:06:03.602545857Z","2024-11-13T19:06:03.618929531Z","[fog-node-1:UPPER_THRESHOLD]","1","2250"
"5.0","4.0","2024-11-13T19:06:03.597377559Z","2024-11-13T19:06:03.669413547Z","[fog-node-3:UPPER_THRESHOLD]","1","2626"
"1.0","4.0","2024-11-13T19:06:03.597375172Z","2024-11-13T19:06:03.625993270Z","[fog-node-3:UPPER_THRESHOLD]","1","2823"
"1.0","4.0","2024-11-13T19:06:03.599887532Z","2024-11-13T19:06:04.015455480Z","[fog-node-2:UPPER_THRESHOLD, fog-node-5:RANKING]","2","3813"
"2.0","4.0","2024-11-13T19:06:03.599564417Z","2024-11-13T19:06:03.612134675Z","[]","0","4347"
"2.0","4.0","2024-11-13T19:06:03.599885339Z","2024-11-13T19:06:04.001272396Z","[fog-node-2:UPPER_THRESHOLD, fog-node-5:SERVICE_DURATION]","2","4010"
"5.0","4.0","2024-11-13T19:06:03.599570799Z","2024-11-13T19:06:03.772366630Z","[]","0","4255"
"4.0","4.0","2024-11-13T19:06:03.597379542Z","2024-11-13T19:06:04.047269908Z","[fog-node-3:UPPER_THRESHOLD, fog-node-6:SERVICE_DURATION]","2","4053"
"3.0","1.0","2024-11-13T19:06:08.600062847Z","2024-11-13T19:06:08.601694680Z","[]","0","347"
"1.0","1.0","2024-11-13T19:06:08.600099386Z","2024-11-13T19:06:08.636347607Z","[]","0","356"
"5.0","1.0","2024-11-13T19:06:08.599498294Z","2024-11-13T19:06:08.692582339Z","[]","0","626"
"4.0","1.0","2024-11-13T19:06:08.599497279Z","2024-11-13T19:06:08.680182297Z","[]","0","647"
"3.0","1.0","2024-11-13T19:06:08.612314700Z","2024-11-13T19:06:10.037983Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD, fog-node-7:UPPER_THRESHOLD]","3","708"
"2.0","1.0","2024-11-13T19:06:08.612312600Z","2024-11-13T19:06:09.961549Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD, fog-node-7:UPPER_THRESHOLD]","3","808"
"4.0","4.0","2024-11-13T19:06:08.600067169Z","2024-11-13T19:06:08.610736323Z","[]","0","4122"
"5.0","4.0","2024-11-13T19:06:08.600068233Z","2024-11-13T19:06:08.638142999Z","[]","0","4114"
"1.0","1.0","2024-11-13T19:06:13.601734682Z","2024-11-13T19:06:13.716640441Z","[fog-node-3:RANKING]","1","188"
"5.0","1.0","2024-11-13T19:06:13.601733715Z","2024-11-13T19:06:13.673527908Z","[]","0","321"
"3.0","1.0","2024-11-13T19:06:13.616443181Z","2024-11-13T19:06:13.653849977Z","[fog-node-2:RANKING]","1","381"
"5.0","4.0","2024-11-13T19:06:08.612308700Z","2024-11-13T19:06:12.052152Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD, fog-node-7:UPPER_THRESHOLD]","3","1995"
"1.0","1.0","2024-11-13T19:06:13.602196846Z","2024-11-13T19:06:13.775899910Z","[fog-node-1:RANKING]","1","340"
"5.0","1.0","2024-11-13T19:06:13.607533038Z","2024-11-13T19:06:13.636013945Z","[]","0","623"
"2.0","1.0","2024-11-13T19:06:13.607530506Z","2024-11-13T19:06:13.611281816Z","[]","0","640"
"4.0","1.0","2024-11-13T19:06:13.602193524Z","2024-11-13T19:06:13.709320817Z","[]","0","649"
"1.0","4.0","2024-11-13T19:06:08.600069300Z","2024-11-13T19:06:12.334176Z","[fog-node-3:RANKING, fog-node-6:UPPER_THRESHOLD, fog-node-7:UPPER_THRESHOLD]","3","2061"
"3.0","1.0","2024-11-13T19:06:13.602195781Z","2024-11-13T19:06:13.738743726Z","[]","0","659"
"2.0","4.0","2024-11-13T19:06:13.601731652Z","2024-11-13T19:06:13.644289126Z","[fog-node-3:RANKING]","1","1935"
"2.0","4.0","2024-11-13T19:06:08.600070200Z","2024-11-13T19:06:14.358144Z","[fog-node-3:SERVICE_DURATION, fog-node-6:UPPER_THRESHOLD, fog-node-7:UPPER_THRESHOLD]","3","1956"
"3.0","4.0","2024-11-13T19:06:08.599493093Z","2024-11-13T19:06:08.603141213Z","[]","0","7731"
"2.0","4.0","2024-11-13T19:06:08.599496299Z","2024-11-13T19:06:08.646199682Z","[]","0","7734"
"1.0","4.0","2024-11-13T19:06:08.599495293Z","2024-11-13T19:06:08.616599982Z","[]","0","7794"
"4.0","4.0","2024-11-13T19:06:08.612313500Z","2024-11-13T19:06:14.962994Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD, fog-node-7:UPPER_THRESHOLD]","3","1858"
"2.0","4.0","2024-11-13T19:06:13.616444186Z","2024-11-13T19:06:13.676522600Z","[fog-node-2:RANKING]","1","3428"
"1.0","4.0","2024-11-13T19:06:13.616445174Z","2024-11-13T19:06:13.705931684Z","[fog-node-2:RANKING]","1","3508"
