Id,metric_alias_widget_3_0,metric_alias_widget_3_1,metric_alias_widget_3_2,metric_alias_widget_3_3,metric_alias_widget_3_4,metric_alias_widget_3_5,metric_alias_widget_3_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkIn Average 300
Label,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn
2024/11/13 01:10:00,19107,19070.8,19077.6,21072.4,37699.6,38295.2,27917.6
2024/11/13 01:15:00,58145,33697.2,34955.8,58077.6,62311.4,61307,54413
2024/11/13 01:20:00,92113.4,41302,43332.4,92628.8,87422.4,87781.2,79637.8
2024/11/13 01:25:00,93176.2,38795,43809.6,88122.8,103975.8,89390,70237.4
2024/11/13 01:30:00,88787,48196.8,43413.6,88260,85230.4,90932.4,75967.2
2024/11/13 01:35:00,88804.4,45207,40526.6,88889.2,101910.6,91499.4,73380.4
2024/11/13 01:40:00,88816.4,46123,42796,90141.4,95806.4,89234.4,61717.2
2024/11/13 01:45:00,89726.6,40710,38301,91316.2,93620.2,87672.8,75939.2
2024/11/13 01:50:00,91129.2,35679.2,41808.8,95275.2,93940.2,85252.6,79098.2
2024/11/13 01:55:00,94602.2,36436,41587.4,91947.2,84883,89895.6,76747
2024/11/13 02:00:00,91826,40514.6,42204.6,89998.4,84581.8,86043.4,84654.4
2024/11/13 02:05:00,89139.2,47715.8,42612.4,88494,89149.2,96407.6,65888.6
2024/11/13 02:10:00,88559.4,51331.2,42437.6,88729.8,83692.2,100205.8,83205.2
2024/11/13 02:15:00,89349,49828.6,41912.8,92704.4,89695.8,90375.8,64428.8
2024/11/13 02:20:00,88846.8,41391.2,41359.6,90854.2,94993.2,92475.4,84137.6
2024/11/13 02:25:00,108808.8,43067,41473.6,90783.6,83398.8,182823.4,70897
2024/11/13 02:30:00,170561.6,37231,40218.6,91584.2,82447.8,143505.8,70015.4
2024/11/13 02:35:00,145878.2,41323.6,44445.4,91853.8,95873.8,82038.8,84413.2
2024/11/13 02:40:00,29443.666666666668,23354.666666666668,18813,34428.666666666664,42484.333333333336,51084.666666666664,42056.666666666664
