Id,metric_alias_widget_4_0,metric_alias_widget_4_1,metric_alias_widget_4_2,metric_alias_widget_4_3,metric_alias_widget_4_4,metric_alias_widget_4_5,metric_alias_widget_4_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkOut Average 300
Label,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut
2024/11/13 01:10:00,13261.2,13200.8,13078,15963,36589.6,36974.6,29101.4
2024/11/13 01:15:00,43539,22128,22726.6,44717.2,51558.8,52513.6,41309
2024/11/13 01:20:00,70732.8,26776.2,28467.6,70127,72474.2,70179.8,58150.8
2024/11/13 01:25:00,70850.2,25536,28177.4,69546,83572.2,71213,50535.4
2024/11/13 01:30:00,69494.4,33316.6,28227.2,68815.2,70063.4,70362,55282
2024/11/13 01:35:00,68889.6,30019.4,25910.8,69612.4,89301.2,72769.6,52762
2024/11/13 01:40:00,69011,30445.8,28058.4,69139.6,78915,69391.8,45146.8
2024/11/13 01:45:00,69452.6,26584,24947,68066.4,73292,69083.4,50994.2
2024/11/13 01:50:00,68497.8,23341.4,27073.6,71367.6,74550.2,65977,51703.6
2024/11/13 01:55:00,70337,24024.8,26644.2,69223.2,69614.6,72650.2,53875.6
2024/11/13 02:00:00,69811,26326.6,28607.6,69543.8,67420.8,68357.8,57996.4
2024/11/13 02:05:00,68730.6,33000.4,27471.4,68959.6,70315,78294.2,50697.8
2024/11/13 02:10:00,69538.4,34289.2,27445.4,69501.6,68022.4,78545.2,52535.6
2024/11/13 02:15:00,68618,32944.2,27810.2,69514.4,70368.4,69913,44952.8
2024/11/13 02:20:00,68565,27414.2,26580.8,69511,76310.2,71918.8,55598.4
2024/11/13 02:25:00,87665.6,27487.6,26344.2,68578.2,64780,180630,50557.8
2024/11/13 02:30:00,159969.8,24290.6,26339,69652,66032.2,136864.2,51962.6
2024/11/13 02:35:00,136041.2,26519.8,31116,69118,77326.8,65753.2,58714.6
2024/11/13 02:40:00,20361,17143.25,12931.5,21889.25,38387.25,43486.5,33761.5
