"userPriority","servicePriority","firstArrivalAtNode","executedAt","offloadedBy","offloadCount","serviceDuration"
"1.0","1.0","2024-11-13T01:16:31.868663691Z","2024-11-13T01:16:32.158152280Z","[]","0","902"
"4.0","1.0","2024-11-13T01:16:31.868661142Z","2024-11-13T01:16:32.134099543Z","[]","0","846"
"1.0","1.0","2024-11-13T01:16:31.851467528Z","2024-11-13T01:16:32.086662646Z","[]","0","954"
"5.0","1.0","2024-11-13T01:16:31.868665819Z","2024-11-13T01:16:32.161861284Z","[]","0","1205"
"3.0","1.0","2024-11-13T01:16:31.868667903Z","2024-11-13T01:16:32.186433090Z","[]","0","1501"
"4.0","1.0","2024-11-13T01:16:31.851470765Z","2024-11-13T01:16:32.103415726Z","[]","0","1760"
"5.0","1.0","2024-11-13T01:16:31.851471847Z","2024-11-13T01:16:32.105163369Z","[]","0","1802"
"1.0","1.0","2024-11-13T01:16:36.613554724Z","2024-11-13T01:16:36.959893054Z","[fog-node-4:RANKING]","1","424"
"2.0","1.0","2024-11-13T01:16:36.613548764Z","2024-11-13T01:16:36.888791107Z","[fog-node-4:RANKING]","1","534"
"3.0","1.0","2024-11-13T01:16:36.613556653Z","2024-11-13T01:16:36.968877987Z","[fog-node-4:RANKING]","1","498"
"1.0","1.0","2024-11-13T01:16:36.625654531Z","2024-11-13T01:16:36.987688423Z","[fog-node-1:RANKING]","1","555"
"2.0","1.0","2024-11-13T01:16:36.625658624Z","2024-11-13T01:16:37.002599238Z","[fog-node-1:RANKING]","1","613"
"3.0","1.0","2024-11-13T01:16:36.625659608Z","2024-11-13T01:16:37.007456638Z","[fog-node-1:RANKING]","1","614"
"1.0","4.0","2024-11-13T01:16:36.613553755Z","2024-11-13T01:16:36.954834644Z","[fog-node-4:RANKING]","1","2203"
"1.0","4.0","2024-11-13T01:16:36.625653541Z","2024-11-13T01:16:36.946930254Z","[fog-node-1:RANKING]","1","2285"
"1.0","1.0","2024-11-13T01:16:41.609391074Z","2024-11-13T01:16:41.796262496Z","[fog-node-1:UPPER_THRESHOLD]","1","1347"
"3.0","1.0","2024-11-13T01:16:41.616380566Z","2024-11-13T01:16:41.951010547Z","[fog-node-4:UPPER_THRESHOLD]","1","1306"
"4.0","1.0","2024-11-13T01:16:41.616379773Z","2024-11-13T01:16:41.942176557Z","[fog-node-4:UPPER_THRESHOLD]","1","1207"
