Id,metric_alias_widget_3_0,metric_alias_widget_3_1,metric_alias_widget_3_2,metric_alias_widget_3_3,metric_alias_widget_3_4,metric_alias_widget_3_5,metric_alias_widget_3_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkIn Average 300
Label,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn
2024/11/13 04:45:00,24497.2,24246,24097.4,24169.4,35592.8,38754.8,28149.4
2024/11/13 04:50:00,19136.6,17401.4,19313.8,18927.6,38675.2,38787.8,24915.8
2024/11/13 04:55:00,61878.2,59863.8,63097,61879.4,82478.8,88879.8,75564.6
2024/11/13 05:00:00,59998.4,64357,64446.8,60788,95162.2,91494.8,78679.4
2024/11/13 05:05:00,63508.2,68759.6,60123.2,62173.2,88408,85860.6,68513
2024/11/13 05:10:00,64781.2,70490.2,60060.8,62740.2,85420.6,87009.2,72166
2024/11/13 05:15:00,65656.2,64248.8,64771.4,68197.8,100818.4,96705.4,81561
2024/11/13 05:20:00,65339.2,63795.4,61319.6,66124.4,91100.6,89096.2,70312.6
2024/11/13 05:25:00,64514.4,61197.6,63073.4,62146.2,88215.2,96055.2,70362.6
2024/11/13 05:30:00,64286.4,61232.6,63860.4,62479.6,84142.8,85126,78024.2
2024/11/13 05:35:00,61324.6,62672,65231,62254.4,90776.2,84112.2,71477.8
2024/11/13 05:40:00,64896,68940,63231.8,65864.4,91092.4,90295,68492.4
2024/11/13 05:45:00,59077.6,66283.8,65027,63872.6,91842.2,88682,72053
2024/11/13 05:50:00,63298.8,68087.4,64403.8,64957.8,82935,83518.2,75573.4
2024/11/13 05:55:00,65758.4,67986,62196,65423.2,86409.6,93845.6,64864.6
2024/11/13 06:00:00,67041.2,61494.8,61310,61757.2,90397.4,91205,75137.4
2024/11/13 06:05:00,64225.8,63643,63945.8,63173.8,92688.2,91866.8,74405.4
2024/11/13 06:10:00,70389.2,60580,68986.2,63604.8,92935.2,90026.2,63475.2
2024/11/13 06:15:00,49415.8,51557.6,53386.4,49590.6,73519.2,65493.8,58814.4
2024/11/13 06:20:00,19053.4,19366.2,19186,19294.4,35657.8,35683.6,25172.2
