Id,metric_alias_widget_4_0,metric_alias_widget_4_1,metric_alias_widget_4_2,metric_alias_widget_4_3,metric_alias_widget_4_4,metric_alias_widget_4_5,metric_alias_widget_4_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkOut Average 300
Label,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut
2024/11/13 04:45:00,17817.6,17108.8,17098.4,17337,34315.2,35899.6,27672.2
2024/11/13 04:50:00,13368.4,12174.6,13451.8,13039.2,35750,36398.2,25785.6
2024/11/13 04:55:00,44239.4,42026,45370.2,44803.8,66884.6,69919.8,52021.4
2024/11/13 05:00:00,41563,45776.2,46044.4,43738.4,74044.6,73476,52745.4
2024/11/13 05:05:00,44655.2,48509,42511.4,44559.2,67944,68209,48421.2
2024/11/13 05:10:00,45334.6,49473.4,42972.4,44069.2,65567.6,70089.2,49856.6
2024/11/13 05:15:00,45994.4,45566.8,45521.8,47201.2,84985.2,74770.4,54330
2024/11/13 05:20:00,47520.2,44835.2,43686.4,44730.4,73345.6,70853.4,48452.4
2024/11/13 05:25:00,46086.6,43859.4,44853.4,44719,69624.6,72591,49382.6
2024/11/13 05:30:00,43737.4,42945.6,44607.8,44369.4,67232.8,65658,51826.6
2024/11/13 05:35:00,43231.6,44039.2,46292.4,43562.6,71686.2,66468.2,50835.6
2024/11/13 05:40:00,44253.6,48846.4,44457.8,45900.2,68770.4,70538.8,48475
2024/11/13 05:45:00,42319.2,47563,45040.2,45162.6,71174.8,69649.8,50032.8
2024/11/13 05:50:00,45218,47268.4,45481.6,45123.2,65691.2,66404,52013.8
2024/11/13 05:55:00,47536,49222.6,43631.2,45956.2,68257.6,72893.8,45257.6
2024/11/13 06:00:00,49047.2,42868.4,42655.4,42643.8,72079.2,71407.8,51678.4
2024/11/13 06:05:00,45175,43750.4,45461.4,45184.8,74434.6,71218.8,50591
2024/11/13 06:10:00,49147.2,42926.2,49409.2,44804.2,72877.4,70152.8,46181.6
2024/11/13 06:15:00,34533.6,36548,36825.6,34302,59817,54542,44216.2
2024/11/13 06:20:00,13172.4,13251.4,13462,13130.2,34389,34220,26569.4
