"userPriority","servicePriority","firstArrivalAtNode","executedAt","offloadedBy","offloadCount","serviceDuration"
"3.0","1.0","2024-11-13T04:54:29.236862956Z","2024-11-13T04:54:29.503295990Z","[]","0","1124"
"2.0","1.0","2024-11-13T04:54:29.236859062Z","2024-11-13T04:54:29.489325810Z","[]","0","1133"
"4.0","1.0","2024-11-13T04:54:29.199835229Z","2024-11-13T04:54:29.419615129Z","[]","0","1018"
"4.0","1.0","2024-11-13T04:54:29.236864029Z","2024-11-13T04:54:29.516789508Z","[]","0","1088"
"2.0","1.0","2024-11-13T04:54:29.199837932Z","2024-11-13T04:54:29.423184799Z","[]","0","1115"
"1.0","1.0","2024-11-13T04:54:29.236853201Z","2024-11-13T04:54:29.396283797Z","[]","0","1078"
"2.0","1.0","2024-11-13T04:54:29.226047260Z","2024-11-13T04:54:29.473713396Z","[]","0","1233"
"5.0","1.0","2024-11-13T04:54:29.199828118Z","2024-11-13T04:54:29.336218405Z","[]","0","1177"
"5.0","1.0","2024-11-13T04:54:29.236860596Z","2024-11-13T04:54:29.492772252Z","[]","0","1134"
"3.0","1.0","2024-11-13T04:54:29.226042180Z","2024-11-13T04:54:29.448300451Z","[]","0","1249"
"1.0","1.0","2024-11-13T04:54:29.226035810Z","2024-11-13T04:54:29.355636721Z","[]","0","1241"
"5.0","1.0","2024-11-13T04:54:29.235820602Z","2024-11-13T04:54:29.382097590Z","[]","0","1280"
"1.0","1.0","2024-11-13T04:54:29.235831275Z","2024-11-13T04:54:29.499968158Z","[]","0","1325"
"4.0","1.0","2024-11-13T04:54:29.235830242Z","2024-11-13T04:54:29.497421829Z","[]","0","1378"
"4.0","1.0","2024-11-13T04:54:33.998108890Z","2024-11-13T04:54:34.007024016Z","[]","0","344"
"5.0","1.0","2024-11-13T04:54:33.998111340Z","2024-11-13T04:54:34.123954790Z","[]","0","308"
"2.0","1.0","2024-11-13T04:54:33.998113384Z","2024-11-13T04:54:34.348675447Z","[fog-node-2:RANKING]","1","261"
"3.0","1.0","2024-11-13T04:54:33.998112359Z","2024-11-13T04:54:34.295109889Z","[fog-node-2:RANKING]","1","331"
